Gene	SRR2072599	SRR2072600	SRR2072601	SRR2072602	SRR2072603	SRR2072604	SRR2072605	SRR2072606	SRR2072608	SRR2072609
ENSG00000101474	307.83566	1295.0349	581.68506	1060.6221	390.65225	885.89465	569.92114	1027.1107	1132.0732	588.9767
ENSG00000101489	12.917376	3.2424483	1.7144749	4.753175	8.891507	3.938694	2.3675463	3.286966	4.3957295	3.825571
ENSG00000101493	1059.8093	1373.8077	1384.2323	1873.8821	1536.6028	1132.5511	1867.7983	2367.6206	1283.2417	1225.1444
ENSG00000101542	3.1955755	3.3001294	2.5686653	0.2853699	10.2718315	7.7286344	19.88656	3.273867	0.0	2.5820618
ENSG00000101544	534.35046	896.83026	951.6794	659.85394	426.15466	1536.1127	983.7805	515.64197	789.0437	689.18225
ENSG00000101546	38.681744	220.84555	103.40462	53.67087	54.549366	210.92444	119.38707	46.232132	262.49258	109.833565
ENSG00000101557	655.3832	662.05383	792.54205	498.0297	646.2031	729.72	706.15857	515.5029	548.09985	454.61127
ENSG00000101558	1242.6038	1773.7947	2256.5312	2315.2678	1610.1554	1689.0332	2427.6748	2219.4517	1550.9379	1736.863
ENSG00000101574	349.41187	73.88128	102.83421	41.745052	161.97026	84.21655	57.14743	78.70456	120.822945	110.1098
ENSG00000101577	1341.3804	676.95184	535.2225	586.5657	913.17896	483.97333	506.0618	520.6528	483.40027	741.869
ENSG00000101596	6665.6543	4162.1504	3046.7415	2793.6255	6591.3745	6451.524	3825.9775	5557.5825	4219.6826	2982.7961
ENSG00000101605	21.105375	13.633624	16.449982	16.218382	59.08232	68.153946	32.90717	48.984398	31.260454	39.11829
ENSG00000101608	4136.09	5944.9175	4196.089	3545.1267	5269.6504	4278.7666	5005.881	4004.311	5636.1484	4480.527
ENSG00000101624	66.49798	99.3282	64.36849	53.775833	54.328037	94.75512	93.89228	69.25805	104.20915	65.26717
ENSG00000101638	37.82498	6.4315987	8.7256975	8.844213	14.475268	21.836714	15.418315	13.437046	10.410026	10.576931
ENSG00000101639	815.6494	817.32196	606.7904	567.0821	831.327	915.5423	842.9064	509.726	552.6947	597.5874
ENSG00000101654	837.9195	1028.2227	536.29474	540.2944	1224.3065	1319.4103	680.5376	691.3342	915.62805	605.6473
ENSG00000101665	349.079	358.85687	281.33472	723.5204	298.47952	393.60968	478.5429	959.13965	317.04462	295.77576
ENSG00000101670	42.071144	15.446184	22.78677	12.258404	38.935253	28.196033	19.326313	19.492378	24.289803	27.25311
ENSG00000101680	9.081212	14.589129	3.1315851	1.613925	15.747169	10.982729	12.746679	6.4801407	7.54493	6.937307
ENSG00000101695	887.31555	303.48145	179.34946	85.70264	1249.5614	298.22992	255.20564	186.99545	380.21622	311.7861
ENSG00000101745	4833.391	2088.6775	2594.7117	1843.4712	3346.4946	1763.8186	1662.6941	1229.5449	1284.939	1633.8771
ENSG00000101746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101751	162.2087	184.05273	105.50683	207.85606	260.564	263.78384	177.95161	291.8298	259.31656	249.50003
ENSG00000101752	460.96222	236.40614	385.99872	480.6914	771.28174	274.64883	400.1459	600.9275	256.01575	307.56015
ENSG00000101773	239.32884	413.80927	1069.9725	321.17142	242.83311	401.79315	1217.436	458.62054	309.02844	718.1497
ENSG00000101782	4667.481	1635.6527	5963.661	3118.5198	3804.4448	1854.3358	5415.7007	3545.8171	1625.1458	4353.05
ENSG00000101811	96.55641	84.75604	68.48067	62.212444	120.61561	119.104416	94.29867	83.81879	83.85668	59.653793
ENSG00000101812	11.5513935	0.0	2.231391	0.0	16.329124	10.99378	0.0	0.0	1.6550164	0.0
ENSG00000101825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
